company_id,alert
HDFCLIFE,Negative Free Cash Flow
SHRIRAMFIN,Negative Operating Cash Flow
SHRIRAMFIN,Negative Free Cash Flow
SHRIRAMFIN,Weak Interest Coverage
SHRIRAMFIN,High Debt
SBILIFE,Negative Free Cash Flow
INDUSINDBK,Negative Operating Cash Flow
INDUSINDBK,Negative Free Cash Flow
INDUSINDBK,Weak Interest Coverage
INDUSINDBK,High Debt
GRASIM,Negative Operating Cash Flow
GRASIM,Negative Free Cash Flow
SBIN,Weak Interest Coverage
ADANIENSOL,High Debt
ADANIENT,Negative Free Cash Flow
ADANIGREEN,Negative Free Cash Flow
ADANIGREEN,Weak Interest Coverage
ADANIGREEN,High Debt
ICICIBANK,Weak Interest Coverage
ICICIBANK,High Debt
TVSMOTOR,Negative Operating Cash Flow
TVSMOTOR,Negative Free Cash Flow
TVSMOTOR,High Debt
ICICIPRULI,Negative Operating Cash Flow
HDFCBANK,Weak Interest Coverage
HDFCBANK,High Debt
BHEL,Negative Operating Cash Flow
BHEL,Negative Free Cash Flow
BHEL,Weak Interest Coverage
KOTAKBANK,Weak Interest Coverage
KOTAKBANK,High Debt
JSWSTEEL,Negative Free Cash Flow
CANBK,Weak Interest Coverage
CANBK,High Debt
CHOLAFIN,Negative Operating Cash Flow
CHOLAFIN,Negative Free Cash Flow
CHOLAFIN,High Debt
JSWENERGY,Negative Free Cash Flow
JINDALSTEL,Negative Free Cash Flow
JIOFIN,Negative Operating Cash Flow
RECLTD,Negative Operating Cash Flow
RECLTD,Negative Free Cash Flow
RECLTD,Weak Interest Coverage
RECLTD,High Debt
IRFC,Weak Interest Coverage
IRFC,High Debt
GODREJCP,Negative Free Cash Flow
BEL,Negative Free Cash Flow
LODHA,Negative Free Cash Flow
BHARTIARTL,High Debt
AXISBANK,Negative Operating Cash Flow
AXISBANK,Negative Free Cash Flow
AXISBANK,Weak Interest Coverage
AXISBANK,High Debt
PNB,Negative Operating Cash Flow
PNB,Negative Free Cash Flow
PNB,High Debt
M&M,Negative Operating Cash Flow
M&M,Negative Free Cash Flow
BANKBARODA,Negative Operating Cash Flow
BANKBARODA,Negative Free Cash Flow
BANKBARODA,Weak Interest Coverage
BANKBARODA,High Debt
BAJFINANCE,Negative Operating Cash Flow
BAJFINANCE,Negative Free Cash Flow
BAJFINANCE,High Debt
AMBUJACEM,Negative Free Cash Flow
BAJAJFINSV,Negative Operating Cash Flow
BAJAJFINSV,Negative Free Cash Flow
BAJAJFINSV,High Debt
PFC,Negative Operating Cash Flow
PFC,Negative Free Cash Flow
PFC,Weak Interest Coverage
PFC,High Debt
NAUKRI,Negative Free Cash Flow
