company_id,pattern
HEROMOTOCO,Improving
HDFCLIFE,Improving
SHRIRAMFIN,Deteriorating
HAL,Deteriorating
HAVELLS,Stable
DIVISLAB,Stable
TATACONSUM,Stable
DABUR,Stable
GAIL,Volatile
EICHERMOT,Improving
HINDALCO,Improving
SIEMENS,Improving
INFY,Stable
SBILIFE,Improving
INDUSINDBK,Deteriorating
RELIANCE,Improving
HCLTECH,Improving
IOC,Improving
SHREECEM,Stable
GRASIM,Volatile
SBIN,Volatile
NTPC,Stable
ADANIPORTS,Improving
NHPC,Improving
TRENT,Improving
ADANIENSOL,Stable
ADANIENT,Volatile
ADANIGREEN,Improving
ICICIBANK,Volatile
TVSMOTOR,Volatile
ONGC,Improving
ABB,Stable
ICICIGI,Improving
HINDUNILVR,Improving
ICICIPRULI,Deteriorating
HDFCBANK,Volatile
BPCL,Volatile
BOSCHLTD,Improving
TATASTEEL,Deteriorating
BHEL,Deteriorating
KOTAKBANK,Volatile
JSWSTEEL,Deteriorating
LICI,Volatile
POWERGRID,Stable
TATAPOWER,Improving
TATAMOTORS,Improving
DMART,Improving
CANBK,Volatile
CIPLA,Stable
CHOLAFIN,Deteriorating
JSWENERGY,Volatile
DLF,Stable
DRREDDY,Stable
SUNPHARMA,Stable
JINDALSTEL,Deteriorating
JIOFIN,Insufficient Data
RECLTD,Deteriorating
IRCTC,Improving
IRFC,Improving
ITC,Stable
COALINDIA,Deteriorating
GODREJCP,Stable
LT,Stable
BEL,Volatile
TCS,Improving
LODHA,Stable
BHARTIARTL,Improving
BRITANNIA,Improving
AXISBANK,Deteriorating
TITAN,Improving
BAJAJ-AUTO,Improving
TECHM,Improving
PNB,Volatile
PIDILITIND,Improving
LTIM,Stable
M&M,Volatile
BANKBARODA,Volatile
BAJFINANCE,Deteriorating
BAJAJHLDNG,Improving
TORNTPHARM,Improving
ASIANPAINT,Improving
AMBUJACEM,Stable
BAJAJFINSV,Deteriorating
ADANIPOWER,Stable
PFC,Deteriorating
ATGL,Stable
APOLLOHOSP,Stable
MARUTI,Improving
MOTHERSON,Improving
NAUKRI,Stable
NESTLEIND,Improving
INDIGO,Improving
