Metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.57,12.78,16.27,26.18,47.97,122.83,633.72
return_on_assets_pct,1.13,2.4,5.9,13.53,22.63,63.5,323.08
return_on_capital_employed_pct,3.5,10.43,19.45,33.86,125.01,188.2,798.84
debt_to_equity,0.01,0.07,0.44,1.64,6.45,1.7,2.86
interest_coverage,1.61,3.18,11.36,62.74,192.29,126.82,485.86
asset_turnover,0.07,0.21,0.66,1.14,1.68,3.6,16.11
revenue_cagr_5yr,6.48,8.64,11.84,17.28,21.08,13.06,7.3
operating_profit_margin_pct,9.87,15.7,26.0,40.55,84.0,34.69,27.4
net_profit_margin_pct,4.62,7.24,14.36,20.43,29.24,20.12,45.18
free_cash_flow_cr,-14435.1,-642.5,1160.0,8644.0,20412.2,1038.92,23118.56
